NAME,UN_A3,lon,lat
Fiji,242,163.85316464458234,-17.31630942638265
Tanzania,834,34.75298985475595,-6.257732428506092
W. Sahara,732,-12.13783111160779,24.291172960208623
Canada,124,-98.14238137209708,61.46907614534896
United States of America,840,-100.5994359115045,40.70562800215178
Kazakhstan,398,67.2846109811001,48.19166075218232
Uzbekistan,860,63.20363952823182,41.748602664652246
Papua New Guinea,598,145.31757462782247,-6.451644514630347
Indonesia,360,117.42340756227364,-2.221737936520542
Argentina,032,-65.17536077114173,-35.4468214894951
Chile,152,-71.5206439451643,-39.04701430994844
Dem. Rep. Congo,180,23.582955831479083,-2.8502757110956667
Somalia,706,45.72670076723565,4.752347756504953
Kenya,404,37.791555286661385,0.5959662521769523
Sudan,729,29.862604012257922,15.990585003116717
Chad,148,18.581329525332894,15.328867399839682
Haiti,332,-72.65801330535574,18.900700691843337
Dominican Rep.,214,-70.46235845697531,18.884487087982258
Russia,643,96.80331818290134,61.961663494923
Bahamas,044,-77.92997080393516,25.515491725336624
Falkland Is.,238,-59.42097279311021,-51.71322176551185
Norway,-99,15.468119955206761,69.15685630975351
Greenland,304,-41.50018111492097,74.77048769398986
Fr. S. Antarctic Lands,260,69.5315804704237,-49.306454911671985
Timor-Leste,626,125.96630027368401,-8.767760362467003
South Africa,710,25.048013879861678,-28.947033259979115
Lesotho,426,28.170105295170494,-29.625290493692013
Mexico,484,-102.5763495239869,23.935371902244835
Uruguay,858,-56.003278666548475,-32.780904365230825
Brazil,076,-53.05434003576711,-10.806773643498916
Bolivia,068,-64.64140560603113,-16.72898701530584
Peru,604,-74.39180581684722,-9.191562905134553
Colombia,170,-73.07773208697478,3.927213862709704
Panama,591,-80.10916483549376,8.530019388864652
Costa Rica,188,-84.17542309600948,9.965671127464528
Nicaragua,558,-85.02031850080252,12.848190428036988
Honduras,340,-86.58996383801542,14.822947081652929
El Salvador,222,-88.87290317032377,13.726091625794197
Guatemala,320,-90.36945836053154,15.699360612026911
Belize,084,-88.70342125299318,17.197089911451545
Venezuela,862,-66.16382727830238,7.162132267639002
Guyana,328,-58.97120310856251,4.790225375174759
Suriname,740,-55.91145629952073,4.1200080317588865
France,250,-2.8766966992706267,42.46070432663372
Ecuador,218,-78.38416674608374,-1.4547717055405804
Puerto Rico,630,-66.47922227695507,18.2372245709719
Jamaica,388,-77.32425480164892,18.137636127868436
Cuba,192,-78.96068490970256,21.631751541025228
Zimbabwe,716,29.788548371892524,-18.906987947858802
Botswana,072,23.773081465789428,-22.099711378826413
Namibia,516,17.156168126194093,-22.099776931731068
Senegal,686,-14.50980278585943,14.354139988452022
Mali,466,-3.543294339453343,17.267772061700715
Mauritania,478,-10.326396925234992,20.20926720635376
Benin,204,2.337377553496156,9.647430780663699
Niger,562,9.324427099857923,17.345552814745542
Nigeria,566,7.995127754089786,9.548318418209965
Cameroon,120,12.611551546501774,5.663095287992696
Togo,768,0.9964039436703582,8.439541954669616
Ghana,288,-1.2369685557063992,7.928651813099648
Côte d'Ivoire,384,-5.6120436452252225,7.5537550070104915
