NAME,UN_A3,lon,lat
N. Cyprus,-099,33.5582859592249,35.273957681259716
Cyprus,196,33.03955380295407,34.90706085094344
Morocco,504,-8.420479544549693,29.885394698302058
Egypt,818,29.844461513124415,26.50661999974957
Libya,434,17.974352779160352,26.997460407020338
Ethiopia,231,39.551255792937745,8.653999188132575
Djibouti,262,42.4980197360445,11.773044395533926
Somaliland,-099,46.23074953490769,9.757971805222988
Uganda,800,32.35755031998686,1.2954855035097297
Rwanda,646,29.91896392224289,-2.0135144658341346
Bosnia and Herz.,070,17.816883270390086,44.1807677629747
North Macedonia,807,21.697903375280845,41.60592964714007
Serbia,688,20.819651926382583,44.23303653365162
Montenegro,499,19.2861817215929,42.78903960655908
Kosovo,-099,20.895355721342227,42.579367131816994
Trinidad and Tobago,780,-61.33036691444967,10.428237089201879
S. Sudan,728,30.198617582461907,7.292890133516845
